tweet_id,favorites,retweet_count
875021211251597312,23338,4156
874680097055178752,25437,4082
874434818259525634,0,12788
874296783580663808,23832,3638
874057562936811520,20794,3512
874012996292530176,31222,8997
873213775632977920,6551,1394
872967104147763200,24933,4770
872820683541237760,13515,3290
872620804844003328,19003,3217
872486979161796608,37348,8050
872122724285648897,31368,7173
871879754684805121,34364,9668
871762521631449091,18524,3081
871515927908634625,18500,3072
871102520638267392,19194,4887
871032628920680449,20873,3377
870804317367881728,30878,5480
870726314365509632,112,3
870656317836468226,11282,2308
870374049280663552,76497,23705
870308999962521604,20143,3685
870063196459192321,33550,7391
869772420881756160,39220,9055
869702957897576449,25930,5604
869596645499047938,14703,2768
869227993411051520,18786,3350
868880397819494401,60091,12832
868639477480148993,0,1836
868622495443632128,24481,4714
868552278524837888,9280,1836
867900495410671616,22346,3745
867774946302451713,31343,6556
867421006826221569,14816,2228
867072653475098625,0,106
867051520902168576,29723,7069
866720684873056260,18446,4309
866686824827068416,17772,3100
866450705531457537,112786,31623
866334964761202691,48300,12788
866094527597207552,0,7515
865718153858494464,23779,5061
865359393868664832,24462,4498
865006731092295680,25922,6958
864873206498414592,29828,7821
864279568663928832,13520,2709
864197398364647424,27713,7944
863907417377173506,19119,3741
863553081350529029,14132,3785
863471782782697472,0,2179
863432100342583297,22054,4739
863427515083354112,2032,85
863079547188785154,8154,1007
863062471531167744,7804,2179
862831371563274240,17796,4645
862722525377298433,15886,3215
862457590147678208,18943,4449
862096992088072192,68776,20931
861383897657036800,33531,9712
861288531465048066,15939,3749
861005113778896900,15531,3469
860981674716409858,0,1937
860924035999428608,0,712
860563773140209665,6968,1937
860524505164394496,22037,4805
860276583193509888,17150,3204
860184849394610176,15511,5337
860177593139703809,0,28086
859924526012018688,18290,3730
859851578198683649,14430,3212
859607811541651456,17411,1412
859196978902773760,83703,27475
859074603037188101,31542,12484
858860390427611136,0,7417
858843525470990336,14599,3172
858471635011153920,20181,4460
858107933456039936,14750,2647
857989990357356544,15040,2365
857746408056729600,32012,9756
857393404942143489,5519,1503
857263160327368704,18849,4147
857214891891077121,210,16
857062103051644929,0,154
857029823797047296,17678,3660
856543823941562368,15387,2658
856526610513747968,11177,1737
856330835276025856,0,615
856288084350160898,487,15
856282028240666624,26085,5805
855862651834028034,313,22
855860136149123072,4602,895
855857698524602368,11207,1948
855851453814013952,43279,16762
855818117272018944,25150,5024
855459453768019968,28082,7615
855245323840757760,0,5512
855138241867124737,0,39
854732716440526848,21449,5627
854482394044301312,27582,6325
854365224396361728,17852,4357
854120357044912130,30269,6939
854010172552949760,15378,2927
853760880890318849,27064,5364
853639147608842240,32787,9315
853299958564483072,14691,3311
852936405516943360,0,1854
852912242202992640,8542,1684
852672615818899456,14170,2016
852553447878664193,15458,3253
852311364735569921,31479,9290
852226086759018497,18992,6385
852189679701164033,10924,1482
851861385021730816,0,19
851591660324737024,15502,3258
851464819735769094,23099,6619
851224888060895234,19719,5397
850753642995093505,29285,8503
850380195714523136,12513,2439
850333567704068097,3298,308
850145622816686080,15572,3556
850019790995546112,19473,4577
849776966551130114,29016,7143
849668094696017920,0,4665
849412302885593088,15187,2964
849336543269576704,10914,1774
849051919805034497,40486,7968
848690551926992896,24130,4082
848324959059550208,23683,4363
848213670039564288,7828,675
848212111729840128,15634,2845
847978865427394560,0,3071
847971574464610304,0,416
847962785489326080,22539,4799
847842811428974592,5196,1246
847617282490613760,6699,389
847606175596138505,18006,3238
847251039262605312,19675,4092
847157206088847362,19040,5515
847116187444137987,20614,3011
846874817362120707,19281,3714
846514051647705089,42774,10912
846505985330044928,13573,2901
846153765933735936,30286,8544
846139713627017216,29818,9566
846042936437604353,15364,2708
845812042753855489,28069,8238
845677943972139009,24252,4569
845397057150107648,7333,1688
845306882940190720,22445,5090
845098359547420673,0,7258
844979544864018432,13137,2416
844973813909606400,14463,2998
844580511645339650,15843,2948
844223788422217728,13175,2073
843981021012017153,14645,2808
843856843873095681,20701,4376
843604394117681152,16283,2597
843235543001513987,20729,5693
842846295480000512,14761,3456
842765311967449089,6498,1205
842535590457499648,17498,3342
842163532590374912,23586,5512
842115215311396866,13508,2880
841833993020538882,0,14280
841680585030541313,24916,7476
841439858740625411,12182,3488
841320156043304961,19142,5262
841314665196081154,15294,4421
841077006473256960,22096,5074
840761248237133825,0,1676
840728873075638272,0,15291
840698636975636481,172,2
840696689258311684,11877,925
840632337062862849,8704,1676
840370681858686976,15905,4345
840268004936019968,18613,5468
839990271299457024,12992,2168
839549326359670784,26538,7417
839290600511926273,0,137
839239871831150596,26228,6227
838952994649550848,19042,3829
838921590096166913,10793,1951
838916489579200512,0,32
838831947270979586,0,10538
838561493054533637,10627,1271
838476387338051585,21766,4539
838201503651401729,0,9611
838150277551247360,1614,318
838085839343206401,136,1
838083903487373313,17102,2982
837820167694528512,33038,7515
837482249356513284,3742,425
837471256429613056,12421,2162
837110210464448512,15574,2264
836989968035819520,12390,2205
836753516572119041,18814,4451
836677758902222849,12273,2130
836648853927522308,0,531
836397794269200385,0,26373
836380477523124226,14366,2870
836260088725786625,20703,4141
836001077879255040,18519,4093
835685285446955009,0,7810
835574547218894849,17304,3465
835536468978302976,0,1619
835309094223372289,0,20113
835297930240217089,16015,2867
835264098648616962,7505,1619
835246439529840640,2046,68
835172783151792128,25453,5538
835152434251116546,21750,2881
834931633769889797,10485,1560
834786237630337024,20869,5318
834574053763584002,13277,2418
834477809192075265,0,10240
834458053273591808,9357,1610
834209720923721728,19992,4555
834167344700198914,15412,3531
834089966724603904,9768,2056
834086379323871233,12710,2121
833863086058651648,13083,2312
833826103416520705,17650,3617
833732339549220864,0,212
833722901757046785,20325,3118
833479644947025920,14493,1966
833124694597443584,19688,4665
832998151111966721,12906,2117
832769181346996225,0,38
832757312314028032,16429,3484
832682457690300417,11561,2810
832645525019123713,2854,513
832636094638288896,15466,2683
832397543355072512,11677,2127
832369877331693569,16727,3071
832273440279240704,11058,2247
832215909146226688,0,6000
832215726631055365,0,8997
832088576586297345,61,2
832040443403784192,0,9247
832032802820481025,17399,4500
831939777352105988,23364,5920
831926988323639298,324,34
831911600680497154,26862,6265
831670449226514432,10168,1748
831650051525054464,6945,1854
831552930092285952,8745,2251
831322785565769729,9056,1497
831315979191906304,6373,1077
831309418084069378,11478,2384
831262627380748289,11604,1977
830956169170665475,7786,1438
830583320585068544,65032,16158
830173239259324417,0,5475
830097400375152640,9530,2827
829878982036299777,0,4825
829861396166877184,11959,1870
829501995190984704,30964,10240
829449946868879360,10211,1941
829141528400556032,23774,7092
829011960981237760,52064,15834
828801551087042563,0,3305
828770345708580865,24964,5656
828708714936930305,35635,10819
828650029636317184,9298,1293
828409743546925057,6207,1119
828408677031882754,7512,1242
828381636999917570,12301,2154
828376505180889089,7222,1035
828372645993398273,12294,2834
828361771580813312,2132,172
828046555563323392,11468,2764
828011680017821696,10120,2091
827933404142436356,19585,5077
827653905312006145,15144,2924
827600520311402496,7302,910
827324948884643840,15483,2935
827199976799354881,10331,2154
826958653328592898,21051,4825
826848821049180160,35375,9817
826615380357632002,0,3860
826598799820865537,5017,241
826598365270007810,9783,2276
826476773533745153,17991,4059
826240494070030336,12978,2531
826204788643753985,4767,888
826115272272650244,15294,3006
825876512159186944,10249,1803
825829644528148480,12473,2427
825535076884762624,55778,17071
825147591692263424,17896,4393
825120256414846976,0,1210
825026590719483904,6128,1210
824796380199809024,0,5349
824775126675836928,14608,3398
824663926340194305,10306,1713
824325613288833024,11572,10291
824297048279236611,14729,3737
824025158776213504,4732,582
823939628516474880,10421,2637
823719002937630720,0,10833
823699002998870016,13679,2446
823581115634085888,12738,2546
823333489516937216,689,22
823322678127919110,15411,3891
823269594223824897,0,9612
822975315408461824,16970,3343
822872901745569793,128771,41904
822859134160621569,12957,2205
822647212903690241,0,6207
822610361945911296,14501,2853
822489057087389700,17762,6207
822462944365645825,27333,13825
822244816520155136,34288,9612
822163064745328640,0,4605
821886076407029760,11091,2239
821813639212650496,0,3278
821765923262631936,8229,1620
821522889702862852,7874,1704
821421320206483457,0,5404
821407182352777218,11501,4195
821153421864615936,249,10
821149554670182400,8446,1903
821107785811234820,9409,2072
821044531881721856,12419,2215
820837357901512704,0,6525
820749716845686786,30943,9611
820690176645140481,12001,3143
820494788566847489,0,549
820446719150292993,0,2490
820314633777061888,3287,549
820078625395449857,19406,6117
820013781606658049,0,1138
819952236453363712,5220,1138
819924195358416896,12685,4756
819711362133872643,13122,3031
819588359383371776,9477,1945
819347104292290561,7091,1173
819238181065359361,2212,398
819227688460238848,22629,6525
819015337530290176,0,36090
819015331746349057,0,18579
819006400881917954,44559,18579
819004803107983360,85531,36090
818646164899774465,0,20387
818627210458333184,22000,7363
818614493328580609,9649,2468
818588835076603904,0,5966
818536468981415936,10654,2388
818307523543449600,0,7840
818259473185828864,10807,2195
818145370475810820,12042,2485
817908911860748288,4763,776
817827839487737858,50596,26373
817777686764523521,10551,2612
817536400337801217,11564,2870
817502432452313088,0,3305
817423860136083457,33132,14280
817415592588222464,5495,926
817181837579653120,0,8222
817171292965273600,8611,1975
817120970343411712,11992,2528
817056546584727552,8438,1599
816829038950027264,0,4593
816816676327063552,9817,1981
816697700272001025,9606,2138
816450570814898180,29836,7840
816336735214911488,8448,1897
816091915477250048,8775,2082
816062466425819140,0,989
816014286006976512,0,5124
815990720817401858,4854,989
815966073409433600,21979,8222
815745968457060357,0,4034
815736392542261248,9675,2213
815639385530101762,8084,1609
815390420867969024,10174,3724
814986499976527872,7529,1244
814638523311648768,11091,2640
814578408554463233,0,5702
814530161257443328,8494,1825
814153002265309185,28259,8470
813944609378369540,0,3117
813910438903693312,9173,1820
813812741911748608,35879,13651
813800681631023104,8191,1713
813217897535406080,18340,7142
813202720496779264,9094,1778
813187593374461952,19552,4250
813172488309972993,9125,1889
813157409116065792,7645,2151
813142292504645637,8362,2339
813130366689148928,4426,434
813127251579564032,11614,3041
813112105746448384,10139,2672
813096984823349248,10412,3543
813081950185472002,9757,2728
813066809284972545,7805,1908
813051746834595840,20617,7196
812781120811126785,7430,1863
812709060537683968,6516,1410
812503143955202048,5964,1191
812466873996607488,7851,1885
812372279581671427,13445,3584
811985624773361665,7159,1372
811744202451197953,7421,1552
811647686436880384,5521,721
811627233043480576,12545,3000
811386762094317568,20608,6246
810984652412424192,5229,1396
810896069567610880,8865,1724
810657578271330305,10801,2574
810284430598270976,34661,10997
810254108431155201,14485,3305
809920764300447744,15330,3860
809808892968534016,0,4798
809448704142938112,6848,1432
809220051211603969,19609,5475
809084759137812480,13028,3456
808838249661788160,9972,2978
808733504066486276,7783,2115
808501579447930884,11139,2554
808344865868283904,41837,20387
808134635716833280,0,5791
808106460588765185,8682,2162
808001312164028416,12344,3470
807621403335917568,14383,3542
807106840509214720,116299,54193
807059379405148160,0,7182
807010152071229440,12928,3790
806629075125202948,73458,33900
806620845233815552,0,5417
806576416489959424,4822,1920
806542213899489280,10070,2315
806242860592926720,0,11391
806219024703037440,6367,1173
805958939288408065,0,5264
805932879469572096,8177,1886
805826884734976000,6474,1783
805823200554876929,0,7843
805520635690676224,5670,1625
805487436403003392,8685,2480
805207613751304193,7728,1689
804738756058218496,13491,3748
804475857670639616,6056,1972
804413760345620481,0,3168
804026241225523202,43782,15797
803773340896923648,9924,2690
803692223237865472,0,7301
803638050916102144,10801,4072
803380650405482500,7655,1845
803321560782307329,0,5205
803276597545603072,9900,2409
802952499103731712,8898,1956
802624713319034886,0,2850
802600418706604034,7008,1429
802572683846291456,8831,2466
802323869084381190,15968,5732
802265048156610565,6840,1350
802239329049477120,8969,2575
802185808107208704,0,269
801958328846974976,7657,1682
801854953262350336,1770,234
801538201127157760,8122,2033
801285448605831168,5957,804
801167903437357056,24104,5791
801127390143516673,0,3881
801115127852503040,7968,2064
800859414831898624,678,96
800855607700029440,0,1578
